url,final_url,canonical,expected_canonical,matches_expected_canonical,indexability
https://www.the-pool-lab.com/,https://www.the-pool-lab.com/,https://www.the-pool-lab.com/,https://www.the-pool-lab.com/,yes,Indexable
https://www.the-pool-lab.com/about,https://www.the-pool-lab.com/about,https://www.the-pool-lab.com/about,https://www.the-pool-lab.com/about,yes,Indexable
https://www.the-pool-lab.com/guides,https://www.the-pool-lab.com/guides,https://www.the-pool-lab.com/guides,https://www.the-pool-lab.com/guides,yes,Indexable
https://www.the-pool-lab.com/reviews,https://www.the-pool-lab.com/reviews,https://www.the-pool-lab.com/reviews,https://www.the-pool-lab.com/reviews,yes,Indexable
https://www.the-pool-lab.com/best-of,https://www.the-pool-lab.com/best-of,https://www.the-pool-lab.com/best-of,https://www.the-pool-lab.com/best-of,yes,Indexable
https://www.the-pool-lab.com/blog/robotic-pool-cleaner-weight-why-it-matters,https://www.the-pool-lab.com/blog/robotic-pool-cleaner-weight-why-it-matters,https://www.the-pool-lab.com/blog/robotic-pool-cleaner-weight-why-it-matters,https://www.the-pool-lab.com/blog/robotic-pool-cleaner-weight-why-it-matters,yes,Indexable
https://www.the-pool-lab.com/blog/robotic-pool-cleaners-for-leaves-vs-fine-debris,https://www.the-pool-lab.com/blog/robotic-pool-cleaners-for-leaves-vs-fine-debris,https://www.the-pool-lab.com/blog/robotic-pool-cleaners-for-leaves-vs-fine-debris,https://www.the-pool-lab.com/blog/robotic-pool-cleaners-for-leaves-vs-fine-debris,yes,Indexable
https://www.the-pool-lab.com/blog/corded-vs-cordless-robotic-pool-cleaners,https://www.the-pool-lab.com/blog/corded-vs-cordless-robotic-pool-cleaners,https://www.the-pool-lab.com/blog/corded-vs-cordless-robotic-pool-cleaners,https://www.the-pool-lab.com/blog/corded-vs-cordless-robotic-pool-cleaners,yes,Indexable
https://www.the-pool-lab.com/blog/do-robotic-pool-cleaners-clean-walls-and-waterlines,https://www.the-pool-lab.com/blog/do-robotic-pool-cleaners-clean-walls-and-waterlines,https://www.the-pool-lab.com/blog/do-robotic-pool-cleaners-clean-walls-and-waterlines,https://www.the-pool-lab.com/blog/do-robotic-pool-cleaners-clean-walls-and-waterlines,yes,Indexable
https://www.the-pool-lab.com/blog/why-you-need-a-robot-pool-cleaner,https://www.the-pool-lab.com/blog/why-you-need-a-robot-pool-cleaner,https://www.the-pool-lab.com/blog/why-you-need-a-robot-pool-cleaner,https://www.the-pool-lab.com/blog/why-you-need-a-robot-pool-cleaner,yes,Indexable
https://www.the-pool-lab.com/blog/top-5-features-to-look-for,https://www.the-pool-lab.com/blog/top-5-features-to-look-for,https://www.the-pool-lab.com/blog/top-5-features-to-look-for,https://www.the-pool-lab.com/blog/top-5-features-to-look-for,yes,Indexable
https://www.the-pool-lab.com/blog/how-to-choose-the-right-robotic-pool-cleaner-for-your-pool,https://www.the-pool-lab.com/blog/how-to-choose-the-right-robotic-pool-cleaner-for-your-pool,https://www.the-pool-lab.com/blog/how-to-choose-the-right-robotic-pool-cleaner-for-your-pool,https://www.the-pool-lab.com/blog/how-to-choose-the-right-robotic-pool-cleaner-for-your-pool,yes,Indexable
https://www.the-pool-lab.com/blog/dolphin-nautilus-cc-plus-vs-dolphin-premier,https://www.the-pool-lab.com/blog/dolphin-nautilus-cc-plus-vs-dolphin-premier,https://www.the-pool-lab.com/blog/dolphin-nautilus-cc-plus-vs-dolphin-premier,https://www.the-pool-lab.com/blog/dolphin-nautilus-cc-plus-vs-dolphin-premier,yes,Indexable
https://www.the-pool-lab.com/blog/corded-vs-cordless-robotic-pool-cleaners-for-large-pools,https://www.the-pool-lab.com/blog/corded-vs-cordless-robotic-pool-cleaners-for-large-pools,https://www.the-pool-lab.com/blog/corded-vs-cordless-robotic-pool-cleaners-for-large-pools,https://www.the-pool-lab.com/blog/corded-vs-cordless-robotic-pool-cleaners-for-large-pools,yes,Indexable
https://www.the-pool-lab.com/blog/polaris-vs-dolphin-robotic-pool-cleaners,https://www.the-pool-lab.com/blog/polaris-vs-dolphin-robotic-pool-cleaners,https://www.the-pool-lab.com/blog/polaris-vs-dolphin-robotic-pool-cleaners,https://www.the-pool-lab.com/blog/polaris-vs-dolphin-robotic-pool-cleaners,yes,Indexable
https://www.the-pool-lab.com/blog/best-robotic-pool-cleaner-for-large-pools,https://www.the-pool-lab.com/blog/best-robotic-pool-cleaner-for-large-pools,https://www.the-pool-lab.com/blog/best-robotic-pool-cleaner-for-large-pools,https://www.the-pool-lab.com/blog/best-robotic-pool-cleaner-for-large-pools,yes,Indexable
https://www.the-pool-lab.com/blog/best-robotic-pool-cleaner-for-deep-pools,https://www.the-pool-lab.com/blog/best-robotic-pool-cleaner-for-deep-pools,https://www.the-pool-lab.com/blog/best-robotic-pool-cleaner-for-deep-pools,https://www.the-pool-lab.com/blog/best-robotic-pool-cleaner-for-deep-pools,yes,Indexable
https://www.the-pool-lab.com/blog/dolphin-nautilus-cc-plus-vs-polaris-9650iq-sport,https://www.the-pool-lab.com/blog/dolphin-nautilus-cc-plus-vs-polaris-9650iq-sport,https://www.the-pool-lab.com/blog/dolphin-nautilus-cc-plus-vs-polaris-9650iq-sport,https://www.the-pool-lab.com/blog/dolphin-nautilus-cc-plus-vs-polaris-9650iq-sport,yes,Indexable
https://www.the-pool-lab.com/best-of/overall,https://www.the-pool-lab.com/best-of/overall,https://www.the-pool-lab.com/best-of/overall,https://www.the-pool-lab.com/best-of/overall,yes,Indexable
https://www.the-pool-lab.com/best-of/value,https://www.the-pool-lab.com/best-of/value,https://www.the-pool-lab.com/best-of/value,https://www.the-pool-lab.com/best-of/value,yes,Indexable
https://www.the-pool-lab.com/best-of/leaves,https://www.the-pool-lab.com/best-of/leaves,https://www.the-pool-lab.com/best-of/leaves,https://www.the-pool-lab.com/best-of/leaves,yes,Indexable
https://www.the-pool-lab.com/best-of/above-ground,https://www.the-pool-lab.com/best-of/above-ground,https://www.the-pool-lab.com/best-of/above-ground,https://www.the-pool-lab.com/best-of/above-ground,yes,Indexable
https://www.the-pool-lab.com/best-of/vinyl,https://www.the-pool-lab.com/best-of/vinyl,https://www.the-pool-lab.com/best-of/vinyl,https://www.the-pool-lab.com/best-of/vinyl,yes,Indexable
https://www.the-pool-lab.com/best-of/inground,https://www.the-pool-lab.com/best-of/inground,https://www.the-pool-lab.com/best-of/inground,https://www.the-pool-lab.com/best-of/inground,yes,Indexable
https://www.the-pool-lab.com/reviews/Dolphin-Nautilus-CC-Plus,https://www.the-pool-lab.com/reviews/Dolphin-Nautilus-CC-Plus,https://www.the-pool-lab.com/reviews/Dolphin-Nautilus-CC-Plus,https://www.the-pool-lab.com/reviews/Dolphin-Nautilus-CC-Plus,yes,Indexable
https://www.the-pool-lab.com/reviews/Dolphin-Premier,https://www.the-pool-lab.com/reviews/Dolphin-Premier,https://www.the-pool-lab.com/reviews/Dolphin-Premier,https://www.the-pool-lab.com/reviews/Dolphin-Premier,yes,Indexable
https://www.the-pool-lab.com/reviews/Dolphin-Nautilus-Titan,https://www.the-pool-lab.com/reviews/Dolphin-Nautilus-Titan,https://www.the-pool-lab.com/reviews/Dolphin-Nautilus-Titan,https://www.the-pool-lab.com/reviews/Dolphin-Nautilus-Titan,yes,Indexable
https://www.the-pool-lab.com/reviews/Dolphin-Sigma,https://www.the-pool-lab.com/reviews/Dolphin-Sigma,https://www.the-pool-lab.com/reviews/Dolphin-Sigma,https://www.the-pool-lab.com/reviews/Dolphin-Sigma,yes,Indexable
https://www.the-pool-lab.com/reviews/Polaris-9650iQ-Sport,https://www.the-pool-lab.com/reviews/Polaris-9650iQ-Sport,https://www.the-pool-lab.com/reviews/Polaris-9650iQ-Sport,https://www.the-pool-lab.com/reviews/Polaris-9650iQ-Sport,yes,Indexable
https://www.the-pool-lab.com/reviews/Polaris-F9550-Sport,https://www.the-pool-lab.com/reviews/Polaris-F9550-Sport,https://www.the-pool-lab.com/reviews/Polaris-F9550-Sport,https://www.the-pool-lab.com/reviews/Polaris-F9550-Sport,yes,Indexable
https://www.the-pool-lab.com/reviews/Polaris-P39,https://www.the-pool-lab.com/reviews/Polaris-P39,https://www.the-pool-lab.com/reviews/Polaris-P39,https://www.the-pool-lab.com/reviews/Polaris-P39,yes,Indexable
https://www.the-pool-lab.com/reviews/Hayward-TigerShark-QC,https://www.the-pool-lab.com/reviews/Hayward-TigerShark-QC,https://www.the-pool-lab.com/reviews/Hayward-TigerShark-QC,https://www.the-pool-lab.com/reviews/Hayward-TigerShark-QC,yes,Indexable
https://www.the-pool-lab.com/reviews/Hayward-SharkVac-XL,https://www.the-pool-lab.com/reviews/Hayward-SharkVac-XL,https://www.the-pool-lab.com/reviews/Hayward-SharkVac-XL,https://www.the-pool-lab.com/reviews/Hayward-SharkVac-XL,yes,Indexable
https://www.the-pool-lab.com/reviews/Hayward-W3PVS20JST-Poolvergnuegen,https://www.the-pool-lab.com/reviews/Hayward-W3PVS20JST-Poolvergnuegen,https://www.the-pool-lab.com/reviews/Hayward-W3PVS20JST-Poolvergnuegen,https://www.the-pool-lab.com/reviews/Hayward-W3PVS20JST-Poolvergnuegen,yes,Indexable
https://www.the-pool-lab.com/reviews/Pentair-Prowler-930,https://www.the-pool-lab.com/reviews/Pentair-Prowler-930,https://www.the-pool-lab.com/reviews/Pentair-Prowler-930,https://www.the-pool-lab.com/reviews/Pentair-Prowler-930,yes,Indexable
https://www.the-pool-lab.com/reviews/Aiper-Scuba-S1,https://www.the-pool-lab.com/reviews/Aiper-Scuba-S1,https://www.the-pool-lab.com/reviews/Aiper-Scuba-S1,https://www.the-pool-lab.com/reviews/Aiper-Scuba-S1,yes,Indexable
https://www.the-pool-lab.com/reviews/Aiper-Seagull-Pro,https://www.the-pool-lab.com/reviews/Aiper-Seagull-Pro,https://www.the-pool-lab.com/reviews/Aiper-Seagull-Pro,https://www.the-pool-lab.com/reviews/Aiper-Seagull-Pro,yes,Indexable
https://www.the-pool-lab.com/reviews/BWT-Pool-Robot-ES-Nano,https://www.the-pool-lab.com/reviews/BWT-Pool-Robot-ES-Nano,https://www.the-pool-lab.com/reviews/BWT-Pool-Robot-ES-Nano,https://www.the-pool-lab.com/reviews/BWT-Pool-Robot-ES-Nano,yes,Indexable
https://www.the-pool-lab.com/reviews/Beatbot-AquaSense-2,https://www.the-pool-lab.com/reviews/Beatbot-AquaSense-2,https://www.the-pool-lab.com/reviews/Beatbot-AquaSense-2,https://www.the-pool-lab.com/reviews/Beatbot-AquaSense-2,yes,Indexable
https://www.the-pool-lab.com/guides/maintenance-care,https://www.the-pool-lab.com/guides/maintenance-care,https://www.the-pool-lab.com/guides/maintenance-care,https://www.the-pool-lab.com/guides/maintenance-care,yes,Indexable
https://www.the-pool-lab.com/guides/cleaning-operation,https://www.the-pool-lab.com/guides/cleaning-operation,https://www.the-pool-lab.com/guides/cleaning-operation,https://www.the-pool-lab.com/guides/cleaning-operation,yes,Indexable
https://www.the-pool-lab.com/guides/buying-guides,https://www.the-pool-lab.com/guides/buying-guides,https://www.the-pool-lab.com/guides/buying-guides,https://www.the-pool-lab.com/guides/buying-guides,yes,Indexable
