url,status,final_url,redirect_hops,content_type,indexability,canonical,title,h1_count,meta_robots,in_sitemap,inlink_count,sample_inlinks,elapsed_ms,error
https://www.the-pool-lab.com/,200,https://www.the-pool-lab.com/,0,text/html,Indexable,https://www.the-pool-lab.com/,"The Pool Lab - Your ultimate guide to Robot Pool Cleaners, reviews, and maintenance tips.",1,,yes,2,"seed, sitemap",187,
https://www.the-pool-lab.com/about,200,https://www.the-pool-lab.com/about,0,text/html,Indexable,https://www.the-pool-lab.com/about,"The Pool Lab - Your ultimate guide to Robot Pool Cleaners, reviews, and maintenance tips.",1,,yes,2,"https://www.the-pool-lab.com/, sitemap",190,
https://www.the-pool-lab.com/guides,200,https://www.the-pool-lab.com/guides,0,text/html,Indexable,https://www.the-pool-lab.com/guides,Guides & Resources - The Pool Lab,1,,yes,3,"https://www.the-pool-lab.com/, https://www.the-pool-lab.com/about, sitemap",481,
https://www.the-pool-lab.com/reviews,200,https://www.the-pool-lab.com/reviews,0,text/html,Indexable,https://www.the-pool-lab.com/reviews,"The Pool Lab - Your ultimate guide to Robot Pool Cleaners, reviews, and maintenance tips.",1,,yes,4,"https://www.the-pool-lab.com/, https://www.the-pool-lab.com/about, https://www.the-pool-lab.com/guides",194,
https://www.the-pool-lab.com/best-of,200,https://www.the-pool-lab.com/best-of,0,text/html,Indexable,https://www.the-pool-lab.com/best-of,"The Pool Lab - Your ultimate guide to Robot Pool Cleaners, reviews, and maintenance tips.",1,,yes,5,"https://www.the-pool-lab.com/, https://www.the-pool-lab.com/about, https://www.the-pool-lab.com/guides",658,
https://www.the-pool-lab.com/blog/robotic-pool-cleaner-weight-why-it-matters,200,https://www.the-pool-lab.com/blog/robotic-pool-cleaner-weight-why-it-matters,0,text/html,Indexable,https://www.the-pool-lab.com/blog/robotic-pool-cleaner-weight-why-it-matters,Robotic Pool Cleaner Weight: Why It Matters More Than Most Buyers Realize - The Pool Lab,1,,yes,2,"https://www.the-pool-lab.com/, sitemap",480,
https://www.the-pool-lab.com/blog/robotic-pool-cleaners-for-leaves-vs-fine-debris,200,https://www.the-pool-lab.com/blog/robotic-pool-cleaners-for-leaves-vs-fine-debris,0,text/html,Indexable,https://www.the-pool-lab.com/blog/robotic-pool-cleaners-for-leaves-vs-fine-debris,Robotic Pool Cleaner for Leaves vs Fine Debris: What to Look For - The Pool Lab,1,,yes,2,"https://www.the-pool-lab.com/, sitemap",171,
https://www.the-pool-lab.com/blog/corded-vs-cordless-robotic-pool-cleaners,200,https://www.the-pool-lab.com/blog/corded-vs-cordless-robotic-pool-cleaners,0,text/html,Indexable,https://www.the-pool-lab.com/blog/corded-vs-cordless-robotic-pool-cleaners,Corded vs Cordless Robotic Pool Cleaners: Which Is Right for Your Pool? - The Pool Lab,1,,yes,3,"https://www.the-pool-lab.com/, https://www.the-pool-lab.com/blog/robotic-pool-cleaner-weight-why-it-matters, sitemap",191,
https://www.the-pool-lab.com/blog/do-robotic-pool-cleaners-clean-walls-and-waterlines,200,https://www.the-pool-lab.com/blog/do-robotic-pool-cleaners-clean-walls-and-waterlines,0,text/html,Indexable,https://www.the-pool-lab.com/blog/do-robotic-pool-cleaners-clean-walls-and-waterlines,Do Robotic Pool Cleaners Clean Walls and Waterlines? - The Pool Lab,1,,yes,2,"https://www.the-pool-lab.com/, sitemap",198,
https://www.the-pool-lab.com/blog/why-you-need-a-robot-pool-cleaner,200,https://www.the-pool-lab.com/blog/why-you-need-a-robot-pool-cleaner,0,text/html,Indexable,https://www.the-pool-lab.com/blog/why-you-need-a-robot-pool-cleaner,Why You Need a Robot Pool Cleaner: A History of Clean - The Pool Lab,1,,yes,2,"https://www.the-pool-lab.com/, sitemap",185,
